web-scraper-order,web-scraper-start-url,Blue Side,Score,Red Side,Date
"1615474455-69","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Misfits Gaming","0 - 1","FC Schalke 04","2021-02-06"
"1615474455-91","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Fnatic","0 - 1","Rogue","2021-01-23"
"1615474455-97","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Team Vitality","0 - 1","FC Schalke 04","2021-01-22"
"1615474455-88","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Misfits Gaming","1 - 0","MAD Lions","2021-01-24"
"1615474455-28","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Fnatic","1 - 0","SK Gaming","2021-03-06"
"1615474455-96","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Misfits Gaming","1 - 0","Fnatic","2021-01-22"
"1615474455-51","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Astralis","0 - 1","G2 Esports","2021-02-19"
"1615474455-53","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Misfits Gaming","0 - 1","Rogue","2021-02-19"
"1615474455-63","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","SK Gaming","0 - 1","Fnatic","2021-02-12"
"1615474455-83","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","G2 Esports","1 - 0","Astralis","2021-01-29"
"1615474455-21","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Excel Esports","-","G2 Esports","2021-03-12"
"1615474455-14","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","FC Schalke 04","-","Excel Esports","2021-03-14"
"1615474455-61","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","G2 Esports","1 - 0","Misfits Gaming","2021-02-12"
"1615474455-75","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","FC Schalke 04","1 - 0","Rogue","2021-02-05"
"1615474455-24","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Astralis","-","Team Vitality","2021-03-12"
"1615474455-57","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Excel Esports","0 - 1","Fnatic","2021-02-13"
"1615474455-36","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","G2 Esports","1 - 0","Fnatic","2021-02-27"
"1615474455-62","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Rogue","1 - 0","MAD Lions","2021-02-12"
"1615474455-31","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","G2 Esports","1 - 0","Rogue","2021-03-05"
"1615474455-59","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","FC Schalke 04","0 - 1","MAD Lions","2021-02-13"
"1615474455-34","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","MAD Lions","1 - 0","FC Schalke 04","2021-03-05"
"1615474455-78","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","SK Gaming","1 - 0","Misfits Gaming","2021-01-30"
"1615474455-17","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Misfits Gaming","-","Fnatic","2021-03-13"
"1615474455-27","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Rogue","1 - 0","MAD Lions","2021-03-06"
"1615474455-48","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Excel Esports","0 - 1","Astralis","2021-02-20"
"1615474455-39","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","SK Gaming","1 - 0","Excel Esports","2021-02-27"
"1615474455-46","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","MAD Lions","1 - 0","Fnatic","2021-02-20"
"1615474455-100","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","G2 Esports","1 - 0","MAD Lions","2021-01-22"
"1615474455-87","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Fnatic","1 - 0","FC Schalke 04","2021-01-24"
"1615474455-47","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","G2 Esports","1 - 0","FC Schalke 04","2021-02-20"
"1615474455-72","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","SK Gaming","1 - 0","MAD Lions","2021-02-05"
"1615474455-42","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Rogue","1 - 0","FC Schalke 04","2021-02-26"
"1615474455-77","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","FC Schalke 04","1 - 0","G2 Esports","2021-01-30"
"1615474455-33","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Astralis","0 - 1","Misfits Gaming","2021-03-05"
"1615474455-65","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Excel Esports","1 - 0","Team Vitality","2021-02-12"
"1615474455-52","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Team Vitality","1 - 0","Fnatic","2021-02-19"
"1615474455-93","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","MAD Lions","1 - 0","Astralis","2021-01-23"
"1615474455-56","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Rogue","0 - 1","G2 Esports","2021-02-13"
"1615474455-16","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","G2 Esports","-","MAD Lions","2021-03-13"
"1615474455-89","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Rogue","1 - 0","SK Gaming","2021-01-24"
"1615474455-30","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Team Vitality","1 - 0","Excel Esports","2021-03-06"
"1615474455-45","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","MAD Lions","0 - 1","SK Gaming","2021-02-26"
"1615474455-67","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Rogue","1 - 0","Astralis","2021-02-06"
"1615474455-19","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Team Vitality","-","FC Schalke 04","2021-03-13"
"1615474455-41","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Fnatic","1 - 0","Astralis","2021-02-26"
"1615474455-49","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Rogue","1 - 0","Team Vitality","2021-02-20"
"1615474455-90","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Astralis","1 - 0","Team Vitality","2021-01-24"
"1615474455-43","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Team Vitality","0 - 1","G2 Esports","2021-02-26"
"1615474455-35","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","SK Gaming","0 - 1","Team Vitality","2021-03-05"
"1615474455-98","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Rogue","1 - 0","Excel Esports","2021-01-22"
"1615474455-74","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Misfits Gaming","0 - 1","Excel Esports","2021-02-05"
"1615474455-38","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Team Vitality","0 - 1","MAD Lions","2021-02-27"
"1615474455-86","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Excel Esports","0 - 1","G2 Esports","2021-01-24"
"1615474455-85","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Excel Esports","0 - 1","MAD Lions","2021-01-29"
"1615474455-84","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","FC Schalke 04","1 - 0","SK Gaming","2021-01-29"
"1615474455-13","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","MAD Lions","-","Astralis","2021-03-14"
"1615474455-60","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Team Vitality","0 - 1","SK Gaming","2021-02-13"
"1615474455-82","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Rogue","1 - 0","Misfits Gaming","2021-01-29"
"1615474455-80","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Astralis","0 - 1","Excel Esports","2021-01-30"
"1615474455-32","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Excel Esports","0 - 1","Fnatic","2021-03-05"
"1615474455-73","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","G2 Esports","1 - 0","Team Vitality","2021-02-05"
"1615474455-94","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Misfits Gaming","0 - 1","Team Vitality","2021-01-23"
"1615474455-11","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Fnatic","-","Rogue","2021-03-14"
"1615474455-66","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Fnatic","1 - 0","G2 Esports","2021-02-06"
"1615474455-58","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Misfits Gaming","1 - 0","Astralis","2021-02-13"
"1615474455-12","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","G2 Esports","-","SK Gaming","2021-03-14"
"1615474455-71","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Astralis","0 - 1","Fnatic","2021-02-05"
"1615474455-25","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Rogue","-","SK Gaming","2021-03-12"
"1615474455-23","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Fnatic","-","FC Schalke 04","2021-03-12"
"1615474455-18","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Rogue","-","Excel Esports","2021-03-13"
"1615474455-44","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Excel Esports","0 - 1","Misfits Gaming","2021-02-26"
"1615474455-26","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","G2 Esports","1 - 0","Misfits Gaming","2021-03-06"
"1615474455-22","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Misfits Gaming","-","MAD Lions","2021-03-12"
"1615474455-68","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","MAD Lions","1 - 0","Team Vitality","2021-02-06"
"1615474455-50","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Misfits Gaming","0 - 1","SK Gaming","2021-02-20"
"1615474455-64","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Astralis","1 - 0","FC Schalke 04","2021-02-12"
"1615474455-92","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","SK Gaming","0 - 1","G2 Esports","2021-01-23"
"1615474455-40","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","FC Schalke 04","0 - 1","Misfits Gaming","2021-02-27"
"1615474455-76","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","MAD Lions","1 - 0","Fnatic","2021-01-30"
"1615474455-15","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Team Vitality","-","Misfits Gaming","2021-03-14"
"1615474455-29","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","FC Schalke 04","1 - 0","Astralis","2021-03-06"
"1615474455-79","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Team Vitality","0 - 1","Rogue","2021-01-30"
"1615474455-54","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Excel Esports","0 - 1","MAD Lions","2021-02-19"
"1615474455-95","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","FC Schalke 04","0 - 1","Excel Esports","2021-01-23"
"1615474455-81","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Fnatic","1 - 0","Team Vitality","2021-01-29"
"1615474455-37","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Astralis","0 - 1","Rogue","2021-02-27"
"1615474455-70","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Excel Esports","1 - 0","SK Gaming","2021-02-06"
"1615474455-55","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","FC Schalke 04","0 - 1","SK Gaming","2021-02-19"
"1615474455-20","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Astralis","-","SK Gaming","2021-03-13"
"1615474455-99","https://gol.gg/tournament/tournament-matchlist/LEC%20Spring%202021/","Astralis","0 - 1","SK Gaming","2021-01-22"
